# Focal surface lookup table
# Extracted from DESI-0530-v9
# 2015-12-15 JHS
# Columns:  R, Z5,  S,   N
# Units:   mm, mm, mm, deg
376.0,-15.759043,376.447608,4.932082
377.0,-15.846752,377.451447,4.958809
378.0,-15.934783,378.455314,4.985720
379.0,-16.023135,379.459210,5.012820
380.0,-16.111810,380.463134,5.040109
381.0,-16.200810,381.467087,5.067589
382.0,-16.290136,382.471068,5.095262
383.0,-16.379788,383.475079,5.123130
384.0,-16.469768,384.479119,5.151193
385.0,-16.560077,385.483189,5.179454
386.0,-16.650716,386.487288,5.207913
387.0,-16.741686,387.491417,5.236572
388.0,-16.832987,388.495576,5.265431
389.0,-16.924621,389.499766,5.294491
390.0,-17.016589,390.503986,5.323752
391.0,-17.108890,391.508237,5.353216
392.0,-17.201527,392.512519,5.382882
393.0,-17.294499,393.516831,5.412751
394.0,-17.387807,394.521175,5.442822
395.0,-17.481451,395.525550,5.473096
396.0,-17.575433,396.529957,5.503571
397.0,-17.669752,397.534395,5.534248
398.0,-17.764408,398.538865,5.565126
399.0,-17.859403,399.543366,5.596204
400.0,-17.954735,400.547900,5.627481
401.0,-18.050405,401.552466,5.658956
402.0,-18.146414,402.557065,5.690627
403.0,-18.242760,403.561695,5.722492
404.0,-18.339443,404.566358,5.754551
405.0,-18.436464,405.571054,5.786800
406.0,-18.533822,406.575782,5.819238
407.0,-18.631516,407.580542,5.851863
408.0,-18.729546,408.585336,5.884671
409.0,-18.827910,409.590162,5.917660
410.0,-18.926609,410.595021,5.950827
411.0,-19.025640,411.599913,5.984168
412.0,-19.125003,412.604837,6.017680
413.0,-19.224697,413.609794,6.051360
414.0,-19.324720,414.614784,6.085202
